County,Precinct,Bentley F. Hensel,David R. Kennedy,"Donald S. Beyer, Jr.",Jerry W. Torres,Write-In
FAIRFAX COUNTY,523 - POE (0000),0,0,0,0,0
FAIRFAX COUNTY,525 - WALNUT HILL (0000),0,0,0,0,0
FAIRFAX COUNTY,526 - BREN MAR (0000),0,0,0,0,0
FAIRFAX COUNTY,527 - EDSALL (0000),0,0,0,0,0
FAIRFAX COUNTY,530 - TRIPPS (0000),0,0,0,0,0
FAIRFAX COUNTY,535 - FORT BUFFALO (0000),0,0,0,0,0
FAIRFAX COUNTY,536 - WOODBURN (0000),0,0,0,0,0
FAIRFAX COUNTY,601 - BELLE HAVEN (0000),0,0,0,0,0
FAIRFAX COUNTY,602 - BELLEVIEW (0000),0,0,0,0,0
FAIRFAX COUNTY,604 - BUCKNELL (0000),0,0,0,0,0
FAIRFAX COUNTY,605 - FORT HUNT (0000),0,0,0,0,0
FAIRFAX COUNTY,606 - HOLLIN HALL (0000),0,0,0,0,0
FAIRFAX COUNTY,607 - HUNTINGTON (0000),0,0,0,0,0
FAIRFAX COUNTY,608 - KIRKSIDE (0000),0,0,0,0,0
FAIRFAX COUNTY,609 - MARLAN (0000),0,0,0,0,0
FAIRFAX COUNTY,610 - SHERWOOD (0000),0,0,0,0,0
FAIRFAX COUNTY,611 - STRATFORD (0000),0,0,0,0,0
FAIRFAX COUNTY,612 - WAYNEWOOD (0000),0,0,0,0,0
FAIRFAX COUNTY,613 - WESTGATE (0000),0,0,0,0,0
FAIRFAX COUNTY,614 - RIVERSIDE (0000),0,0,0,0,0
FAIRFAX COUNTY,615 - WOODLEY (0000),0,0,0,0,0
FAIRFAX COUNTY,616 - GUNSTON (0000),0,0,0,0,0
FAIRFAX COUNTY,621 - GROSVENOR (0000),0,0,0,0,0
FAIRFAX COUNTY,627 - WOODLAWN #1 (0000),0,0,0,0,0
FAIRFAX COUNTY,635 - WOODLAWN #2 (0000),0,0,0,0,0
FAIRFAX COUNTY,705 - GRAHAM-GREENWAY (0000),0,0,0,0,0
FAIRFAX COUNTY,708 - MARSHALL (0000),0,0,0,0,0
FAIRFAX COUNTY,710 - PINE SPRING (0000),0,0,0,0,0
FAIRFAX COUNTY,712 - SHREVE (0000),0,0,0,0,0
FAIRFAX COUNTY,713 - TIMBER LANE (0000),0,0,0,0,0
FAIRFAX COUNTY,FAIRFAX COUNTY PROVISIONALS,0,0,0,0,0
